ctgov,cause,time,estimate
NCT00034840,Lack of Efficacy,1,1
NCT00034840,Lack of Efficacy,12,1
NCT00034840,Lack of Efficacy,13,0.9979
NCT00034840,Lack of Efficacy,26,0.9979
NCT00034840,Lack of Efficacy,28,0.9938
NCT00034840,Lack of Efficacy,33,0.9917
NCT00034840,Lack of Efficacy,36,0.9917
NCT00034840,Lack of Efficacy,37,0.9896
NCT00034840,Lack of Efficacy,39,0.9875
NCT00034840,Lack of Efficacy,41,0.9791
NCT00034840,Lack of Efficacy,46,0.9791
NCT00034840,Lack of Efficacy,47,0.9769
NCT00034840,Lack of Efficacy,52,0.9769
NCT00034840,Lack of Efficacy,53,0.9748
NCT00034840,Lack of Efficacy,84,0.9748
NCT00051558,Adverse Event,1,1
NCT00051558,Adverse Event,26,0.9859
NCT00051558,Adverse Event,38,0.9859
NCT00051558,Adverse Event,43,0.9788
NCT00051558,Adverse Event,57,0.9716
NCT00051558,Adverse Event,107,0.9716
NCT00051558,Adverse Event,119,0.9615
NCT00051558,Adverse Event,147,0.959
NCT00051558,Adverse Event,167,0.9513
NCT00051558,Adverse Event,211,0.9487
NCT00051558,Adverse Event,219,0.9434
NCT00051558,Adverse Event,263,0.9434
NCT00051558,Adverse Event,317,0.9353
NCT00051558,Adverse Event,354,0.9353
NCT00051558,Adverse Event,368,0.9298
NCT00051558,Adverse Event,405,0.9298
NCT00051558,Adverse Event,413,0.9156
NCT00051558,Adverse Event,534,0.9069
NCT00051558,Adverse Event,547,0.9011
NCT00051558,Adverse Event,596,0.8951
NCT00051558,Adverse Event,705,0.8951
NCT00051558,Adverse Event,742,0.8888
NCT00051558,Adverse Event,808,0.8888
NCT00051558,Adverse Event,819,0.8824
NCT00051558,Adverse Event,995,0.8791
NCT00051558,Adverse Event,998,0.8756
NCT00051558,Adverse Event,1077,0.8686
NCT00051558,Adverse Event,1162,0.8686
NCT00051558,Lost to Follow-up,1,0.9977
NCT00051558,Lost to Follow-up,57,0.9977
NCT00051558,Lost to Follow-up,61,0.9952
NCT00051558,Lost to Follow-up,77,0.9952
NCT00051558,Lost to Follow-up,85,0.9927
NCT00051558,Lost to Follow-up,91,0.9902
NCT00051558,Lost to Follow-up,219,0.9902
NCT00051558,Lost to Follow-up,223,0.98740000000000006
NCT00051558,Lost to Follow-up,233,0.9847
NCT00051558,Lost to Follow-up,392,0.9847
NCT00051558,Lost to Follow-up,399,0.9817
NCT00051558,Lost to Follow-up,418,0.9817
NCT00051558,Lost to Follow-up,431,0.9786
NCT00051558,Lost to Follow-up,679,0.9786
NCT00051558,Lost to Follow-up,681,0.9753
NCT00051558,Lost to Follow-up,688,0.9753
NCT00051558,Lost to Follow-up,697,0.9719
NCT00051558,Lost to Follow-up,728,0.9719
NCT00051558,Lost to Follow-up,730,0.9685
NCT00051558,Lost to Follow-up,919,0.9685
NCT00051558,Lost to Follow-up,927,0.9648
NCT00051558,Lost to Follow-up,943,0.9648
NCT00051558,Lost to Follow-up,972,0.9611
NCT00051558,Lost to Follow-up,975,0.9611
NCT00051558,Lost to Follow-up,983,0.9574
NCT00051558,Lost to Follow-up,984,0.9537
NCT00051558,Lost to Follow-up,1162,0.9537
NCT00051558,Other/Miscellaneous,1,1
NCT00051558,Other/Miscellaneous,26,1
NCT00051558,Other/Miscellaneous,35,0.9905
NCT00051558,Other/Miscellaneous,106,0.9856
NCT00051558,Other/Miscellaneous,111,0.9805
NCT00051558,Other/Miscellaneous,126,0.9805
NCT00051558,Other/Miscellaneous,134,0.9728
NCT00051558,Other/Miscellaneous,233,0.9701
NCT00051558,Other/Miscellaneous,256,0.962
NCT00051558,Other/Miscellaneous,301,0.9592
NCT00051558,Other/Miscellaneous,306,0.9537
NCT00051558,Other/Miscellaneous,332,0.9537
NCT00051558,Other/Miscellaneous,364,0.9453
NCT00051558,Other/Miscellaneous,413,0.9425
NCT00051558,Other/Miscellaneous,418,0.9396
NCT00051558,Other/Miscellaneous,526,0.9396
NCT00051558,Other/Miscellaneous,529,0.9366
NCT00051558,Other/Miscellaneous,560,0.9366
NCT00051558,Other/Miscellaneous,563,0.9304
NCT00051558,Other/Miscellaneous,674,0.9273
NCT00051558,Other/Miscellaneous,679,0.9241
NCT00051558,Other/Miscellaneous,814,0.9241
NCT00051558,Other/Miscellaneous,819,0.9208
NCT00051558,Other/Miscellaneous,839,0.9174
NCT00051558,Other/Miscellaneous,998,0.9174
NCT00051558,Other/Miscellaneous,999,0.9138
NCT00051558,Other/Miscellaneous,1063,0.9101
NCT00051558,Other/Miscellaneous,1162,0.9101
NCT00051558,PI/Sponsor Decision,1,1
NCT00051558,PI/Sponsor Decision,85,1
NCT00051558,PI/Sponsor Decision,91,0.9975
NCT00051558,PI/Sponsor Decision,99,0.9975
NCT00051558,PI/Sponsor Decision,106,0.9949
NCT00051558,PI/Sponsor Decision,147,0.9949
NCT00051558,PI/Sponsor Decision,154,0.9923
NCT00051558,PI/Sponsor Decision,368,0.9923
NCT00051558,PI/Sponsor Decision,369,0.9893
NCT00051558,PI/Sponsor Decision,391,0.9893
NCT00051558,PI/Sponsor Decision,392,0.9863
NCT00051558,PI/Sponsor Decision,399,0.9863
NCT00051558,PI/Sponsor Decision,405,0.9833
NCT00051558,PI/Sponsor Decision,557,0.9833
NCT00051558,PI/Sponsor Decision,560,0.9801
NCT00051558,PI/Sponsor Decision,681,0.9801
NCT00051558,PI/Sponsor Decision,688,0.9768
NCT00051558,PI/Sponsor Decision,769,0.9768
NCT00051558,PI/Sponsor Decision,778,0.9733
NCT00051558,PI/Sponsor Decision,865,0.9733
NCT00051558,PI/Sponsor Decision,878,0.9696
NCT00051558,PI/Sponsor Decision,1001,0.9696
NCT00051558,PI/Sponsor Decision,1016,0.9658
NCT00051558,PI/Sponsor Decision,1078,0.9658
NCT00051558,PI/Sponsor Decision,1079,0.9618
NCT00051558,PI/Sponsor Decision,1162,0.9618
NCT00051558,Voluntary Withdrawal,1,1
NCT00051558,Voluntary Withdrawal,26,1
NCT00051558,Voluntary Withdrawal,38,0.9928
NCT00051558,Voluntary Withdrawal,54,0.9928
NCT00051558,Voluntary Withdrawal,70,0.983
NCT00051558,Voluntary Withdrawal,91,0.9805
NCT00051558,Voluntary Withdrawal,99,0.9706
NCT00051558,Voluntary Withdrawal,112,0.9656
NCT00051558,Voluntary Withdrawal,154,0.958
NCT00051558,Voluntary Withdrawal,189,0.9451
NCT00051558,Voluntary Withdrawal,304,0.9345
NCT00051558,Voluntary Withdrawal,308,0.9291
NCT00051558,Voluntary Withdrawal,364,0.9236
NCT00051558,Voluntary Withdrawal,399,0.9126
NCT00051558,Voluntary Withdrawal,504,0.9098
NCT00051558,Voluntary Withdrawal,547,0.9011
NCT00051558,Voluntary Withdrawal,560,0.8924
NCT00051558,Voluntary Withdrawal,608,0.8805
NCT00051558,Voluntary Withdrawal,697,0.8746
NCT00051558,Voluntary Withdrawal,769,0.8502
NCT00051558,Voluntary Withdrawal,861,0.841
NCT00051558,Voluntary Withdrawal,918,0.8253
NCT00051558,Voluntary Withdrawal,972,0.8222
NCT00051558,Voluntary Withdrawal,1001,0.8126
NCT00051558,Voluntary Withdrawal,1069,0.8093
NCT00051558,Voluntary Withdrawal,1080,0.8026
NCT00051558,Voluntary Withdrawal,1162,0.8026
NCT00125918,Adverse Event,1,0.9975
NCT00125918,Adverse Event,16,0.9926
NCT00125918,Adverse Event,21,0.9876
NCT00125918,Adverse Event,22,0.9851
NCT00125918,Adverse Event,26,0.9826
NCT00125918,Adverse Event,27,0.9752
NCT00125918,Adverse Event,29,0.9652
NCT00125918,Adverse Event,32,0.9627
NCT00125918,Adverse Event,35,0.9577
NCT00125918,Adverse Event,40,0.9577
NCT00125918,Adverse Event,45,0.9503
NCT00125918,Adverse Event,53,0.9453
NCT00125918,Adverse Event,54,0.9402
NCT00125918,Adverse Event,57,0.9402
NCT00125918,Adverse Event,60,0.9377
NCT00125918,Adverse Event,65,0.9301
NCT00125918,Adverse Event,76,0.9225
NCT00125918,Adverse Event,79,0.9225
NCT00125918,Adverse Event,81,0.9175
NCT00125918,Adverse Event,82,0.9124
NCT00125918,Adverse Event,83,0.9022
NCT00125918,Adverse Event,84,0.8997
NCT00125918,Adverse Event,85,0.8946
NCT00125918,Adverse Event,101,0.8869
NCT00125918,Adverse Event,110,0.8869
NCT00125918,Adverse Event,111,0.8838
NCT00125918,Adverse Event,146,0.8838
NCT00152984,Adverse Event,1,0.9979
NCT00152984,Adverse Event,13,0.9958
NCT00152984,Adverse Event,26,0.9936
NCT00152984,Adverse Event,28,0.9915
NCT00152984,Adverse Event,32,0.9894
