ctgov,cause,dist,param1,param2,r
NCT00034840,Lack of Efficacy,lnorm,meanlog,meanlog,0.4633
NCT00034840,Lack of Efficacy,lnorm,meanlog,sdlog,0.1726
NCT00034840,Lack of Efficacy,lnorm,sdlog,meanlog,0.1726
NCT00034840,Lack of Efficacy,lnorm,sdlog,sdlog,0.06765
NCT00051558,Adverse Event,lnorm,meanlog,meanlog,0.312
NCT00051558,Adverse Event,lnorm,meanlog,sdlog,0.06082
NCT00051558,Adverse Event,lnorm,sdlog,meanlog,0.06082
NCT00051558,Adverse Event,lnorm,sdlog,sdlog,0.01466
NCT00051558,Lost to Follow-up,exp,rate,rate,0.06667
NCT00051558,Other/Miscellaneous,gompertz,shape,shape,3.953e-7
NCT00051558,Other/Miscellaneous,gompertz,shape,rate,-1.391e-4
NCT00051558,Other/Miscellaneous,gompertz,rate,shape,-1.391e-4
NCT00051558,Other/Miscellaneous,gompertz,rate,rate,0.08017
NCT00051558,PI/Sponsor Decision,exp,rate,rate,0.08333
NCT00051558,Voluntary Withdrawal,exp,rate,rate,0.01429
NCT00125918,Adverse Event,exp,rate,rate,0.02174
NCT00152984,Adverse Event,exp,rate,rate,0.08333
NCT00153023,Adverse Event,gompertz,shape,shape,1.165e-6
NCT00153023,Adverse Event,gompertz,shape,rate,-1.545e-4
NCT00153023,Adverse Event,gompertz,rate,shape,-1.545e-4
NCT00153023,Adverse Event,gompertz,rate,rate,0.03184
NCT00153023,Other/Miscellaneous,gompertz,shape,shape,1.384e-5
NCT00153023,Other/Miscellaneous,gompertz,shape,rate,-8.085e-4
NCT00153023,Other/Miscellaneous,gompertz,rate,shape,-8.085e-4
NCT00153023,Other/Miscellaneous,gompertz,rate,rate,0.09268
NCT00153023,Protocol Violation,llogis,shape,shape,0.05878
NCT00153023,Protocol Violation,llogis,shape,scale,-0.3406
NCT00153023,Protocol Violation,llogis,scale,shape,-0.3406
NCT00153023,Protocol Violation,llogis,scale,scale,2.111
NCT00153023,Voluntary Withdrawal,lnorm,meanlog,meanlog,2.629
NCT00153023,Voluntary Withdrawal,lnorm,meanlog,sdlog,0.2597
NCT00153023,Voluntary Withdrawal,lnorm,sdlog,meanlog,0.2597
NCT00153023,Voluntary Withdrawal,lnorm,sdlog,sdlog,0.02734
NCT00153088,Adverse Event,lnorm,meanlog,meanlog,0.2299
NCT00153088,Adverse Event,lnorm,meanlog,sdlog,0.04902
NCT00153088,Adverse Event,lnorm,sdlog,meanlog,0.04902
NCT00153088,Adverse Event,lnorm,sdlog,sdlog,0.01268
NCT00153088,Voluntary Withdrawal,exp,rate,rate,0.08333
NCT00168831,Adverse Event,lnorm,meanlog,meanlog,0.077
NCT00168831,Adverse Event,lnorm,meanlog,sdlog,0.01607
NCT00168831,Adverse Event,lnorm,sdlog,meanlog,0.01607
NCT00168831,Adverse Event,lnorm,sdlog,sdlog,0.004511
NCT00168831,Lost to Follow-up,exp,rate,rate,0.07143
NCT00168831,Other/Miscellaneous,gompertz,shape,shape,8.743e-6
NCT00168831,Other/Miscellaneous,gompertz,shape,rate,-9.617e-4
NCT00168831,Other/Miscellaneous,gompertz,rate,shape,-9.617e-4
NCT00168831,Other/Miscellaneous,gompertz,rate,rate,0.1725
NCT00168831,Protocol Violation,gompertz,shape,shape,6.952e-6
NCT00168831,Protocol Violation,gompertz,shape,rate,-5.494e-4
NCT00168831,Protocol Violation,gompertz,rate,shape,-5.494e-4
NCT00168831,Protocol Violation,gompertz,rate,rate,0.07914
NCT00168831,Voluntary Withdrawal,lnorm,meanlog,meanlog,1.185
NCT00168831,Voluntary Withdrawal,lnorm,meanlog,sdlog,0.1434
NCT00168831,Voluntary Withdrawal,lnorm,sdlog,meanlog,0.1434
NCT00168831,Voluntary Withdrawal,lnorm,sdlog,sdlog,0.01878
NCT00168844,Adverse Event,lnorm,meanlog,meanlog,0.1175
NCT00168844,Adverse Event,lnorm,meanlog,sdlog,0.025
NCT00168844,Adverse Event,lnorm,sdlog,meanlog,0.025
NCT00168844,Adverse Event,lnorm,sdlog,sdlog,0.006527
NCT00168844,Lost to Follow-up,llogis,shape,shape,0.04697
NCT00168844,Lost to Follow-up,llogis,shape,scale,-0.2906
NCT00168844,Lost to Follow-up,llogis,scale,shape,-0.2906
NCT00168844,Lost to Follow-up,llogis,scale,scale,1.931
NCT00168844,Other/Miscellaneous,gompertz,shape,shape,5.805e-6
NCT00168844,Other/Miscellaneous,gompertz,shape,rate,-6.932e-4
NCT00168844,Other/Miscellaneous,gompertz,rate,shape,-6.932e-4
NCT00168844,Other/Miscellaneous,gompertz,rate,rate,0.1304
NCT00168844,Voluntary Withdrawal,gompertz,shape,shape,6.194e-6
NCT00168844,Voluntary Withdrawal,gompertz,shape,rate,-4.386e-4
NCT00168844,Voluntary Withdrawal,gompertz,rate,shape,-4.386e-4
NCT00168844,Voluntary Withdrawal,gompertz,rate,rate,0.05809
NCT00168857,Adverse Event,exp,rate,rate,0.01053
NCT00168857,Lost to Follow-up,weibull,shape,shape,0.07921
NCT00168857,Lost to Follow-up,weibull,shape,scale,-0.4923
NCT00168857,Lost to Follow-up,weibull,scale,shape,-0.4923
NCT00168857,Lost to Follow-up,weibull,scale,scale,3.24
NCT00168857,Other/Miscellaneous,gompertz,shape,shape,3.157e-5
NCT00168857,Other/Miscellaneous,gompertz,shape,rate,-0.001324
NCT00168857,Other/Miscellaneous,gompertz,rate,shape,-0.001324
NCT00168857,Other/Miscellaneous,gompertz,rate,rate,0.1111
NCT00168857,Protocol Violation,exp,rate,rate,0.03571
NCT00168857,Voluntary Withdrawal,llogis,shape,shape,0.05909
NCT00168857,Voluntary Withdrawal,llogis,shape,scale,-0.3307
NCT00168857,Voluntary Withdrawal,llogis,scale,shape,-0.3307
NCT00168857,Voluntary Withdrawal,llogis,scale,scale,1.98
NCT00239421,Adverse Event,exp,rate,rate,0.07143
NCT00274014,Adverse Event,lnorm,meanlog,meanlog,0.1238
NCT00274014,Adverse Event,lnorm,meanlog,sdlog,0.02599
NCT00274014,Adverse Event,lnorm,sdlog,meanlog,0.02599
NCT00274014,Adverse Event,lnorm,sdlog,sdlog,0.006636
NCT00274014,Lost to Follow-up,exp,rate,rate,0.03125
NCT00274014,Other/Miscellaneous,exp,rate,rate,0.02564
NCT00274014,Protocol Violation,lnorm,meanlog,meanlog,1.467
NCT00274014,Protocol Violation,lnorm,meanlog,sdlog,0.207
NCT00274014,Protocol Violation,lnorm,sdlog,meanlog,0.207
NCT00274014,Protocol Violation,lnorm,sdlog,sdlog,0.03088
NCT00274014,Voluntary Withdrawal,lnorm,meanlog,meanlog,0.5396
NCT00274014,Voluntary Withdrawal,lnorm,meanlog,sdlog,0.09005
NCT00274014,Voluntary Withdrawal,lnorm,sdlog,meanlog,0.09005
NCT00274014,Voluntary Withdrawal,lnorm,sdlog,sdlog,0.01641
NCT00274053,Adverse Event,gompertz,shape,shape,4.114e-6
NCT00274053,Adverse Event,gompertz,shape,rate,-4.208e-4
NCT00274053,Adverse Event,gompertz,rate,shape,-4.208e-4
NCT00274053,Adverse Event,gompertz,rate,rate,0.06576
NCT00274053,Other/Miscellaneous,gompertz,shape,shape,1.434e-5
NCT00274053,Other/Miscellaneous,gompertz,shape,rate,-0.001296
NCT00274053,Other/Miscellaneous,gompertz,rate,shape,-0.001296
NCT00274053,Other/Miscellaneous,gompertz,rate,rate,0.1887
NCT00274053,Protocol Violation,gompertz,shape,shape,8.439e-6
NCT00274053,Protocol Violation,gompertz,shape,rate,-8.897e-4
NCT00274053,Protocol Violation,gompertz,rate,shape,-8.897e-4
NCT00274053,Protocol Violation,gompertz,rate,rate,0.1414
NCT00274053,Voluntary Withdrawal,gompertz,shape,shape,8.285e-6
NCT00274053,Voluntary Withdrawal,gompertz,shape,rate,-7.251e-4
NCT00274053,Voluntary Withdrawal,gompertz,rate,shape,-7.251e-4
NCT00274053,Voluntary Withdrawal,gompertz,rate,rate,0.1035
NCT00274079,Adverse Event,lnorm,meanlog,meanlog,0.4532
NCT00274079,Adverse Event,lnorm,meanlog,sdlog,0.09467
NCT00274079,Adverse Event,lnorm,sdlog,meanlog,0.09467
NCT00274079,Adverse Event,lnorm,sdlog,sdlog,0.02284
NCT00274547,Adverse Event,gompertz,shape,shape,1.632e-6
NCT00274547,Adverse Event,gompertz,shape,rate,-1.063e-4
NCT00274547,Adverse Event,gompertz,rate,shape,-1.063e-4
NCT00274547,Adverse Event,gompertz,rate,rate,0.01085
NCT00274547,Lost to Follow-up,lnorm,meanlog,meanlog,1.732
NCT00274547,Lost to Follow-up,lnorm,meanlog,sdlog,0.3697
NCT00274547,Lost to Follow-up,lnorm,sdlog,meanlog,0.3697
NCT00274547,Lost to Follow-up,lnorm,sdlog,sdlog,0.08079
NCT00274547,Other/Miscellaneous,gompertz,shape,shape,2.682e-5
NCT00274547,Other/Miscellaneous,gompertz,shape,rate,-0.001182
NCT00274547,Other/Miscellaneous,gompertz,rate,shape,-0.001182
NCT00274547,Other/Miscellaneous,gompertz,rate,rate,0.09379
NCT00274547,Protocol Violation,exp,rate,rate,0.02778
NCT00274547,Voluntary Withdrawal,gompertz,shape,shape,6.573e-6
NCT00274547,Voluntary Withdrawal,gompertz,shape,rate,-4.396e-4
NCT00274547,Voluntary Withdrawal,gompertz,rate,shape,-4.396e-4
NCT00274547,Voluntary Withdrawal,gompertz,rate,rate,0.04553
NCT00274560,Adverse Event,lnorm,meanlog,meanlog,0.474
NCT00274560,Adverse Event,lnorm,meanlog,sdlog,0.08352
NCT00274560,Adverse Event,lnorm,sdlog,meanlog,0.08352
NCT00274560,Adverse Event,lnorm,sdlog,sdlog,0.01661
NCT00274560,Voluntary Withdrawal,exp,rate,rate,0.08333
NCT00274599,Adverse Event,gompertz,shape,shape,4.103e-5
NCT00274599,Adverse Event,gompertz,shape,rate,-0.001479
NCT00274599,Adverse Event,gompertz,rate,shape,-0.001479
NCT00274599,Adverse Event,gompertz,rate,rate,0.08276
NCT00274599,Lack of Efficacy,exp,rate,rate,0.08333
NCT00274599,Lost to Follow-up,exp,rate,rate,0.1
NCT00274599,Other/Miscellaneous,gompertz,shape,shape,3.42e-4
NCT00274599,Other/Miscellaneous,gompertz,shape,rate,-0.006121
NCT00274599,Other/Miscellaneous,gompertz,rate,shape,-0.006121
NCT00274599,Other/Miscellaneous,gompertz,rate,rate,0.2096
NCT00274599,Voluntary Withdrawal,exp,rate,rate,0.05556
NCT00274612,Adverse Event,gompertz,shape,shape,3.403e-5
NCT00274612,Adverse Event,gompertz,shape,rate,-0.001429
NCT00274612,Adverse Event,gompertz,rate,shape,-0.001429
NCT00274612,Adverse Event,gompertz,rate,rate,0.0878
NCT00274612,Lack of Efficacy,exp,rate,rate,0.1
NCT00274612,Other/Miscellaneous,exp,rate,rate,0.05882
NCT00277264,Adverse Event,lnorm,meanlog,meanlog,0.1909
NCT00277264,Adverse Event,lnorm,meanlog,sdlog,0.03192
NCT00277264,Adverse Event,lnorm,sdlog,meanlog,0.03192
NCT00277264,Adverse Event,lnorm,sdlog,sdlog,0.006625
NCT00277264,Other/Miscellaneous,exp,rate,rate,0.07692
NCT00277264,Protocol Violation,gompertz,shape,shape,9.534e-6
NCT00277264,Protocol Violation,gompertz,shape,rate,-0.001039
NCT00277264,Protocol Violation,gompertz,rate,shape,-0.001039
NCT00277264,Protocol Violation,gompertz,rate,rate,0.1846
NCT00277264,Voluntary Withdrawal,gompertz,shape,shape,2.004e-6
NCT00277264,Voluntary Withdrawal,gompertz,shape,rate,-2.051e-4
NCT00277264,Voluntary Withdrawal,gompertz,rate,shape,-2.051e-4
NCT00277264,Voluntary Withdrawal,gompertz,rate,rate,0.03507
NCT00321854,Adverse Event,gompertz,shape,shape,9.012e-7
NCT00321854,Adverse Event,gompertz,shape,rate,-1.486e-4
NCT00321854,Adverse Event,gompertz,rate,shape,-1.486e-4
NCT00321854,Adverse Event,gompertz,rate,rate,0.03642
NCT00321854,Lack of Efficacy,exp,rate,rate,0.04348
NCT00321854,Protocol Violation,exp,rate,rate,0.09091
NCT00321854,Voluntary Withdrawal,gompertz,shape,shape,4.474e-6
NCT00321854,Voluntary Withdrawal,gompertz,shape,rate,-5.278e-4
NCT00321854,Voluntary Withdrawal,gompertz,rate,shape,-5.278e-4
NCT00321854,Voluntary Withdrawal,gompertz,rate,rate,0.1057
NCT00384930,Adverse Event,lnorm,meanlog,meanlog,0.3557
NCT00384930,Adverse Event,lnorm,meanlog,sdlog,0.07498
NCT00384930,Adverse Event,lnorm,sdlog,meanlog,0.07498
NCT00384930,Adverse Event,lnorm,sdlog,sdlog,0.01711
NCT00384930,Other/Miscellaneous,gompertz,shape,shape,8.05e-5
NCT00384930,Other/Miscellaneous,gompertz,shape,rate,-0.002244
NCT00384930,Other/Miscellaneous,gompertz,rate,shape,-0.002244
NCT00384930,Other/Miscellaneous,gompertz,rate,rate,0.1026
NCT00384930,PI/Sponsor Decision,lnorm,meanlog,meanlog,0.7102
NCT00384930,PI/Sponsor Decision,lnorm,meanlog,sdlog,0.1974
NCT00384930,PI/Sponsor Decision,lnorm,sdlog,meanlog,0.1974
NCT00384930,PI/Sponsor Decision,lnorm,sdlog,sdlog,0.05692
NCT00384930,Protocol Violation,exp,rate,rate,0.09091
NCT00384930,Voluntary Withdrawal,exp,rate,rate,0.02632
NCT00402233,Adverse Event,gompertz,shape,shape,7.894e-5
NCT00402233,Adverse Event,gompertz,shape,rate,-0.00222
NCT00402233,Adverse Event,gompertz,rate,shape,-0.00222
NCT00402233,Adverse Event,gompertz,rate,rate,0.1009
NCT00466167,Adverse Event,gompertz,shape,shape,1.409e-5
NCT00466167,Adverse Event,gompertz,shape,rate,-0.00084079999999999995
NCT00466167,Adverse Event,gompertz,rate,shape,-0.00084079999999999995
NCT00466167,Adverse Event,gompertz,rate,rate,0.08722
NCT00466167,Voluntary Withdrawal,exp,rate,rate,0.05556
NCT00472199,Adverse Event,gompertz,shape,shape,1.327e-5
NCT00472199,Adverse Event,gompertz,shape,rate,-6.425e-4
NCT00472199,Adverse Event,gompertz,rate,shape,-6.425e-4
NCT00472199,Adverse Event,gompertz,rate,rate,0.05491
NCT00472199,Lack of Efficacy,gompertz,shape,shape,1.862e-5
NCT00472199,Lack of Efficacy,gompertz,shape,rate,-9.264e-4
NCT00472199,Lack of Efficacy,gompertz,rate,shape,-9.264e-4
NCT00472199,Lack of Efficacy,gompertz,rate,rate,0.08063
NCT00472199,Voluntary Withdrawal,gompertz,shape,shape,4.749e-5
NCT00472199,Voluntary Withdrawal,gompertz,shape,rate,-0.002426
NCT00472199,Voluntary Withdrawal,gompertz,rate,shape,-0.002426
NCT00472199,Voluntary Withdrawal,gompertz,rate,rate,0.2149
NCT00479401,Adverse Event,gompertz,shape,shape,6.21e-6
NCT00479401,Adverse Event,gompertz,shape,rate,-4.381e-4
NCT00479401,Adverse Event,gompertz,rate,shape,-4.381e-4
NCT00479401,Adverse Event,gompertz,rate,rate,0.05174
NCT00479401,Voluntary Withdrawal,gompertz,shape,shape,9.235e-6
NCT00479401,Voluntary Withdrawal,gompertz,shape,rate,-7.87e-4
NCT00479401,Voluntary Withdrawal,gompertz,rate,shape,-7.87e-4
NCT00479401,Voluntary Withdrawal,gompertz,rate,rate,0.1041
NCT00525512,Adverse Event,weibull,shape,shape,0.01182
NCT00525512,Adverse Event,weibull,shape,scale,-0.02532
NCT00525512,Adverse Event,weibull,scale,shape,-0.02532
NCT00525512,Adverse Event,weibull,scale,scale,0.07272
