ctgov,time,estimate
NCT00034840,1,0.9959
NCT00034840,2,0.9939
NCT00034840,12,0.9898
NCT00034840,13,0.9878
NCT00034840,16,0.9857
NCT00034840,17,0.9816
NCT00034840,19,0.9796
NCT00034840,26,0.9776
NCT00034840,27,0.9735
NCT00034840,28,0.9714
NCT00034840,33,0.9694
NCT00034840,34,0.9673
NCT00034840,36,0.9653
NCT00034840,37,0.9612
NCT00034840,39,0.9571
NCT00034840,40,0.951
NCT00034840,41,0.9429
NCT00034840,46,0.9429
NCT00034840,47,0.9408
NCT00034840,49,0.9408
NCT00034840,50,0.9387
NCT00034840,52,0.9387
NCT00034840,53,0.9367
NCT00034840,54,0.9367
NCT00034840,55,0.9342
NCT00034840,84,0.9342
NCT00051558,1,0.9977
NCT00051558,26,0.9836
NCT00051558,35,0.965
NCT00051558,53,0.9509
NCT00051558,57,0.9416
NCT00051558,85,0.9299
NCT00051558,113,0.8972
NCT00051558,161,0.8645
NCT00051558,248,0.8271
NCT00051558,297,0.8154
NCT00051558,308,0.8037
NCT00051558,354,0.7921
NCT00051558,391,0.7734
NCT00051558,418,0.75
NCT00051558,520,0.7336
NCT00051558,546,0.7243
NCT00051558,568,0.7056
NCT00051558,608,0.6939
NCT00051558,674,0.6869
NCT00051558,742,0.6565
NCT00051558,819,0.6355
NCT00051558,861,0.6308
NCT00051558,927,0.6098
NCT00051558,972,0.6051
NCT00051558,1001,0.5888
NCT00051558,1069,0.5794
NCT00051558,1080,0.5699
NCT00051558,1162,0.5699
NCT00125918,1,0.9975
NCT00125918,5,0.9901
NCT00125918,16,0.9852
NCT00125918,22,0.9778
NCT00125918,26,0.9753
NCT00125918,27,0.9679
NCT00125918,29,0.958
NCT00125918,35,0.9506
NCT00125918,40,0.9481
NCT00125918,48,0.9383
NCT00125918,53,0.9309
NCT00125918,54,0.9259
NCT00125918,57,0.9185
NCT00125918,69,0.9037
NCT00125918,79,0.8963
NCT00125918,81,0.8914
NCT00125918,82,0.8864
NCT00125918,83,0.8741
NCT00125918,85,0.8667
NCT00125918,101,0.8568
NCT00125918,107,0.8568
NCT00125918,108,0.8542
NCT00125918,110,0.8542
NCT00125918,111,0.8513
NCT00125918,112,0.844
NCT00125918,114,0.844
NCT00125918,115,0.8363
NCT00125918,146,0.8363
NCT00152984,1,0.9936
NCT00152984,13,0.9915
NCT00152984,26,0.9894
NCT00152984,28,0.9873
NCT00152984,32,0.9852
NCT00152984,34,0.9831
NCT00152984,40,0.9809
NCT00152984,43,0.9788
NCT00152984,50,0.9767
NCT00152984,52,0.9725
NCT00152984,54,0.9703
NCT00152984,58,0.9703
NCT00152984,61,0.9682
NCT00152984,70,0.9682
NCT00152984,73,0.9661
NCT00152984,144,0.9661
NCT00153023,1,0.991
NCT00153023,8,0.9876
NCT00153023,16,0.9763
NCT00153023,21,0.9751
NCT00153023,25,0.9695
NCT00153023,29,0.9537
NCT00153023,32,0.9525
NCT00153023,37,0.9379
NCT00153023,41,0.9345
NCT00153023,62,0.922
NCT00153023,66,0.9186
NCT00153023,67,0.9141
NCT00153023,71,0.9096
NCT00153023,81,0.9085
NCT00153023,130,0.8825
NCT00153023,148,0.8757
NCT00153023,175,0.8723
NCT00153023,195,0.8588
NCT00153023,258,0.8418
NCT00153023,263,0.8373
NCT00153023,279,0.8339
NCT00153023,292,0.826
NCT00153023,320,0.8249
NCT00153023,336,0.8169
NCT00153023,358,0.8145
NCT00153023,362,0.8115
NCT00153023,419,0.8115
NCT00153088,4,0.9981
NCT00153088,18,0.9867
NCT00153088,54,0.9734
NCT00153088,60,0.9602
NCT00153088,85,0.9507
NCT00153088,189,0.9298
NCT00153088,196,0.9203
NCT00153088,273,0.907
NCT00153088,309,0.8918
NCT00153088,356,0.8918
NCT00153088,364,0.8859
NCT00153088,385,0.8859
NCT00153088,396,0.8761
NCT00153088,419,0.8761
NCT00153088,420,0.8677
NCT00153088,424,0.8616
NCT00153088,446,0.8616
NCT00153088,449,0.8415
NCT00153088,474,0.8415
NCT00153088,487,0.8209
NCT00153088,534,0.8163
NCT00153088,535,0.8112
NCT00153088,549,0.8061
NCT00153088,565,0.8061
NCT00153088,566,0.8008
NCT00153088,595,0.8008
NCT00153088,598,0.7951
NCT00153088,846,0.7951
NCT00168831,1,0.994
NCT00168831,8,0.9791
NCT00168831,13,0.9633
NCT00168831,14,0.9533
NCT00168831,17,0.9464
NCT00168831,27,0.9325
NCT00168831,32,0.9305
NCT00168831,35,0.9235
NCT00168831,52,0.9086
NCT00168831,55,0.9027
NCT00168831,56,0.8957
NCT00168831,72,0.8808
NCT00168831,80,0.8798
NCT00168831,110,0.862
NCT00168831,112,0.857
NCT00168831,118,0.855
NCT00168831,124,0.8471
NCT00168831,221,0.8004
NCT00168831,225,0.7905
NCT00168831,232,0.7865
NCT00168831,264,0.7756
NCT00168831,287,0.7617
NCT00168831,314,0.7527
NCT00168831,335,0.7516
NCT00168831,341,0.7443
NCT00168831,348,0.7443
NCT00168831,349,0.7349
NCT00168831,443,0.7349
NCT00168844,1,0.9939
NCT00168844,11,0.9817
NCT00168844,12,0.9786
NCT00168844,13,0.9654
NCT00168844,15,0.9573
NCT00168844,18,0.9532
NCT00168844,39,0.94
NCT00168844,47,0.9379
NCT00168844,55,0.9257
NCT00168844,56,0.9186
NCT00168844,60,0.9145
NCT00168844,92,0.9023
NCT00168844,107,0.8922
NCT00168844,112,0.885
NCT00168844,124,0.8779
NCT00168844,129,0.8718
NCT00168844,141,0.8708
NCT00168844,151,0.8647
NCT00168844,160,0.8637
NCT00168844,230,0.8311
NCT00168844,278,0.8159
NCT00168844,282,0.8118
NCT00168844,312,0.8037
NCT00168844,328,0.8037
NCT00168844,336,0.8015
NCT00168844,338,0.7966
NCT00168844,449,0.7966
NCT00168857,1,0.9942
NCT00168857,11,0.9919
NCT00168857,14,0.9802
NCT00168857,31,0.9605
NCT00168857,49,0.9523
NCT00168857,54,0.9465
NCT00168857,55,0.9395
NCT00168857,65,0.9314
NCT00168857,75,0.9302
NCT00168857,88,0.9174
NCT00168857,117,0.9128
NCT00168857,132,0.9035
NCT00168857,152,0.8988
NCT00168857,172,0.886
NCT00168857,190,0.8814
NCT00168857,203,0.8698
NCT00168857,272,0.8488
NCT00168857,276,0.843
NCT00168857,284,0.8419
NCT00168857,289,0.836
NCT00168857,301,0.8326
NCT00168857,338,0.8104
NCT00168857,354,0.808
NCT00168857,362,0.8026
NCT00168857,363,0.8008
NCT00168857,364,0.7932
NCT00168857,433,0.7932
NCT00239421,1,0.9983
NCT00239421,2,0.9967
NCT00239421,5,0.995
NCT00239421,9,0.9917
NCT00239421,12,0.9901
NCT00239421,13,0.9851
NCT00239421,15,0.9818
NCT00239421,20,0.9802
NCT00239421,21,0.9785
NCT00239421,24,0.9769
NCT00239421,26,0.9752
NCT00239421,27,0.9736
