ctgov,loglik,aic,dist,parameter,est,se
NCT00034840,-247.7,497.5,exp,rate,-6.742,0.1768
NCT00051558,-1564,3132,lnorm,meanlog,7.375,0.1298
NCT00051558,-1564,3132,lnorm,sdlog,0.6903,0.05868
NCT00125918,-473.4,948.9,exp,rate,-6.515,0.126
NCT00152984,-139.8,283.7,llogis,shape,-0.3698,0.2479
NCT00152984,-139.8,283.7,llogis,scale,9.308,1.263
NCT00153023,-1374,2752,lnorm,meanlog,8.609,0.2614
NCT00153023,-1374,2752,lnorm,sdlog,1.12,0.06566
NCT00153088,-762.6,1529,gompertz,shape,-0.001125,6.225e-4
NCT00153088,-762.6,1529,gompertz,rate,-7.703,0.1842
NCT00168831,-2000,4004,lnorm,meanlog,7.7,0.1766
NCT00168831,-2000,4004,lnorm,sdlog,1.034,0.05214
NCT00168844,-1604,3211,lnorm,meanlog,8.325,0.2285
NCT00168844,-1604,3211,lnorm,sdlog,1.092,0.06003
NCT00168857,-1444,2892,weibull,shape,-0.2479,0.07398
NCT00168857,-1444,2892,weibull,scale,7.815,0.1762
NCT00239421,-198.8,399.6,exp,rate,-6.953,0.2
NCT00274014,-2020,4045,lnorm,meanlog,7.376,0.1438
NCT00274014,-2020,4045,lnorm,sdlog,0.8227,0.05229
NCT00274053,-864.4,1733,gompertz,shape,-0.005512,0.001318
NCT00274053,-864.4,1733,gompertz,rate,-6.466,0.1607
NCT00274079,-366.3,736.7,lnorm,meanlog,7.393,0.4632
NCT00274079,-366.3,736.7,lnorm,sdlog,0.9658,0.1221
NCT00274547,-2916,5836,gompertz,shape,-0.007826,0.001026
NCT00274547,-2916,5836,gompertz,rate,-6.012,0.08539
NCT00274560,-521.2,1046,lnorm,meanlog,8.287,0.484
NCT00274560,-521.2,1046,lnorm,sdlog,1.122,0.1038
NCT00274599,-679.6,1363,gompertz,shape,-0.008834,0.003793
NCT00274599,-679.6,1363,gompertz,rate,-6.356,0.1902
NCT00274612,-642.7,1287,exp,rate,-6.837,0.1104
NCT00277264,-1713,3430,lnorm,meanlog,7.918,0.2065
NCT00277264,-1713,3430,lnorm,sdlog,1.095,0.05673
NCT00321854,-1172,2349,lnorm,meanlog,7.216,0.1643
NCT00321854,-1172,2349,lnorm,sdlog,0.7022,0.06885
NCT00384930,-1066,2137,lnorm,meanlog,6.772,0.2129
NCT00384930,-1066,2137,lnorm,sdlog,0.7479,0.0713
NCT00402233,-271.4,546.8,gompertz,shape,-0.02353,0.007434
