ctgov,dist,param1,param2,r
NCT00034840,exp,rate,rate,0.03125
NCT00125918,exp,rate,rate,0.01587
NCT00239421,exp,rate,rate,0.04
NCT00274612,exp,rate,rate,0.0122
NCT00602472,exp,rate,rate,0.01299
NCT00776984,exp,rate,rate,0.01961
NCT00915772,exp,rate,rate,0.009091
NCT00996658,exp,rate,rate,0.03333
NCT01084005,exp,rate,rate,0.04762
NCT01087502,exp,rate,rate,0.02
NCT01306214,exp,rate,rate,0.01149
NCT01335464,exp,rate,rate,0.008772
NCT01335477,exp,rate,rate,0.008264
NCT01368081,exp,rate,rate,0.01042
NCT01694771,exp,rate,rate,0.01299
NCT02177396,exp,rate,rate,0.03125
NCT02200653,exp,rate,rate,0.05556
NCT02750410,exp,rate,rate,0.05882
NCT00153088,gompertz,shape,shape,3.874e-7
NCT00153088,gompertz,shape,rate,-9.269e-5
NCT00153088,gompertz,rate,shape,-9.269e-5
NCT00153088,gompertz,rate,rate,0.03394
NCT00274053,gompertz,shape,shape,1.738e-6
NCT00274053,gompertz,shape,rate,-1.696e-4
NCT00274053,gompertz,rate,shape,-1.696e-4
NCT00274053,gompertz,rate,rate,0.02582
NCT00274547,gompertz,shape,shape,1.053e-6
NCT00274547,gompertz,shape,rate,-7.041e-5
NCT00274547,gompertz,rate,shape,-7.041e-5
NCT00274547,gompertz,rate,rate,0.007292
NCT00274599,gompertz,shape,shape,1.439e-5
NCT00274599,gompertz,shape,rate,-5.974e-4
NCT00274599,gompertz,rate,shape,-5.974e-4
NCT00274599,gompertz,rate,rate,0.03617
NCT00402233,gompertz,shape,shape,5.527e-5
NCT00402233,gompertz,shape,rate,-0.001558
NCT00402233,gompertz,rate,shape,-0.001558
NCT00402233,gompertz,rate,rate,0.07095
NCT00472199,gompertz,shape,shape,5.639e-6
NCT00472199,gompertz,shape,rate,-2.82e-4
NCT00472199,gompertz,rate,shape,-2.82e-4
NCT00472199,gompertz,rate,rate,0.02463
NCT00563381,gompertz,shape,shape,9.243e-8
NCT00563381,gompertz,shape,rate,-1.097e-5
NCT00563381,gompertz,rate,shape,-1.097e-5
NCT00563381,gompertz,rate,rate,0.002114
NCT00793624,gompertz,shape,shape,7.628e-7
NCT00793624,gompertz,shape,rate,-8.657e-5
NCT00793624,gompertz,rate,shape,-8.657e-5
NCT00793624,gompertz,rate,rate,0.01574
NCT00798161,gompertz,shape,shape,4.477e-6
NCT00798161,gompertz,shape,rate,-2.961e-4
NCT00798161,gompertz,rate,shape,-2.961e-4
NCT00798161,gompertz,rate,rate,0.02958
NCT00800683,gompertz,shape,shape,2.833e-6
NCT00800683,gompertz,shape,rate,-4.076e-4
NCT00800683,gompertz,rate,shape,-4.076e-4
NCT00800683,gompertz,rate,rate,0.08807
NCT00855582,gompertz,shape,shape,2.487e-5
NCT00855582,gompertz,shape,rate,-8.434e-4
NCT00855582,gompertz,rate,shape,-8.434e-4
NCT00855582,gompertz,rate,rate,0.04289
NCT00926289,gompertz,shape,shape,9.352e-5
NCT00926289,gompertz,shape,rate,-0.001795
NCT00926289,gompertz,rate,shape,-0.001795
NCT00926289,gompertz,rate,rate,0.05168
NCT00954447,gompertz,shape,shape,3.398e-7
NCT00954447,gompertz,shape,rate,-5.933e-5
NCT00954447,gompertz,rate,shape,-5.933e-5
